method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
Ridge(one-hot),20,16,0.16666666666666663,0.11904761904761904,0.12999999999999998,0.3095238095238095,0.20000000000000004,0.4000000000000001
Ridge(compact),20,16,0.29999999999999993,0.21428571428571427,0.14000000000000004,0.33333333333333326,0.4000000000000001,0.5999999999999999
MutCount (0 labels),20,17,0.24666666666666667,0.1804878048780488,0.09450000000000001,0.23048780487804882,0.4000000000000001,0.4000000000000001
Random,20,17,0.03333333333333333,0.02439024390243903,0.04000000000000001,0.09756097560975611,0.0,0.20000000000000004
Ridge(one-hot),20,17,0.10000000000000002,0.07317073170731708,0.14000000000000004,0.3414634146341464,0.0,0.4000000000000001
Ridge(compact),20,17,0.16666666666666663,0.12195121951219515,0.14999999999999997,0.3658536585365854,0.20000000000000004,0.4000000000000001
MutCount (0 labels),20,18,0.20833333333333334,0.15243902439024393,0.09650000000000002,0.23536585365853663,0.25,0.25
Random,20,18,0.06666666666666667,0.04878048780487806,0.030000000000000006,0.07317073170731708,0.0,0.0
Ridge(one-hot),20,18,0.23333333333333334,0.1707317073170732,0.14999999999999997,0.3658536585365854,0.0,0.5
Ridge(compact),20,18,0.20000000000000004,0.14634146341463417,0.12000000000000002,0.29268292682926833,0.25,0.25
MutCount (0 labels),20,19,0.24166666666666664,0.1726190476190476,0.10700000000000003,0.25476190476190474,0.4000000000000001,0.4000000000000001
Random,20,19,0.03333333333333333,0.023809523809523815,0.030000000000000006,0.07142857142857142,0.0,0.0
Ridge(one-hot),20,19,0.23333333333333334,0.16666666666666663,0.18000000000000002,0.42857142857142855,0.0,0.4000000000000001
Ridge(compact),20,19,0.23333333333333334,0.16666666666666663,0.18000000000000002,0.42857142857142855,0.0,0.4000000000000001
MutCount (0 labels),50,0,0.18166666666666667,0.14342105263157898,0.08050000000000002,0.2118421052631579,0.4000000000000001,0.4000000000000001
Random,50,0,0.0,0.0,0.020000000000000004,0.052631578947368404,0.0,0.0
Ridge(one-hot),50,0,0.16666666666666663,0.13157894736842107,0.19,0.5,0.20000000000000004,0.5999999999999999
Ridge(compact),50,0,0.16666666666666663,0.13157894736842107,0.20000000000000004,0.5263157894736843,0.4000000000000001,0.5999999999999999
MutCount (0 labels),50,1,0.24333333333333332,0.1780487804878049,0.10900000000000001,0.26585365853658544,0.4000000000000001,0.4000000000000001
Random,50,1,0.0,0.0,0.020000000000000004,0.04878048780487806,0.0,0.20000000000000004
Ridge(one-hot),50,1,0.10000000000000002,0.07317073170731708,0.12000000000000002,0.29268292682926833,0.0,0.20000000000000004
Ridge(compact),50,1,0.13333333333333333,0.09756097560975611,0.14000000000000004,0.3414634146341464,0.20000000000000004,0.4000000000000001
MutCount (0 labels),50,2,0.23833333333333334,0.1833333333333333,0.10800000000000001,0.27692307692307694,0.4000000000000001,0.4000000000000001
Random,50,2,0.0,0.0,0.030000000000000006,0.07692307692307691,0.0,0.20000000000000004
Ridge(one-hot),50,2,0.10000000000000002,0.07692307692307691,0.16999999999999998,0.43589743589743596,0.0,0.20000000000000004
Ridge(compact),50,2,0.20000000000000004,0.15384615384615383,0.18000000000000002,0.46153846153846156,0.0,0.20000000000000004
MutCount (0 labels),50,3,0.20500000000000002,0.15769230769230766,0.09350000000000001,0.23974358974358972,0.4000000000000001,0.4000000000000001
Random,50,3,0.0,0.0,0.0,0.0,0.0,0.0
Ridge(one-hot),50,3,0.23333333333333334,0.17948717948717946,0.14000000000000004,0.3589743589743589,0.20000000000000004,0.20000000000000004
Ridge(compact),50,3,0.23333333333333334,0.17948717948717946,0.16999999999999998,0.43589743589743596,0.20000000000000004,0.5999999999999999
MutCount (0 labels),50,4,0.23833333333333334,0.17439024390243904,0.10800000000000001,0.26341463414634153,0.4000000000000001,0.4000000000000001
Random,50,4,0.06666666666666667,0.04878048780487806,0.06000000000000001,0.14634146341463417,0.0,0.20000000000000004
Ridge(one-hot),50,4,0.20000000000000004,0.14634146341463417,0.18000000000000002,0.4390243902439025,0.20000000000000004,0.4000000000000001
Ridge(compact),50,4,0.23333333333333334,0.1707317073170732,0.22000000000000003,0.5365853658536587,0.20000000000000004,0.5999999999999999
MutCount (0 labels),50,5,0.17666666666666664,0.1325,0.09000000000000001,0.22499999999999995,0.4000000000000001,0.4000000000000001
Random,50,5,0.13333333333333333,0.10000000000000002,0.07000000000000002,0.17499999999999996,0.0,0.20000000000000004
Ridge(one-hot),50,5,0.29999999999999993,0.22499999999999995,0.20000000000000004,0.5,0.4000000000000001,0.8000000000000002
Ridge(compact),50,5,0.29999999999999993,0.22499999999999995,0.20000000000000004,0.5,0.4000000000000001,0.8000000000000002
MutCount (0 labels),50,6,0.24,0.18461538461538457,0.10600000000000001,0.2717948717948718,0.4000000000000001,0.4000000000000001
Random,50,6,0.03333333333333333,0.025641025641025644,0.04000000000000001,0.10256410256410257,0.0,0.0
Ridge(one-hot),50,6,0.13333333333333333,0.10256410256410257,0.12999999999999998,0.33333333333333326,0.20000000000000004,0.5999999999999999
Ridge(compact),50,6,0.29999999999999993,0.23076923076923078,0.19,0.4871794871794871,0.0,0.5999999999999999
MutCount (0 labels),50,7,0.2416666666666667,0.1726190476190476,0.1105,0.26309523809523805,0.4000000000000001,0.4000000000000001
Random,50,7,0.0,0.0,0.030000000000000006,0.07142857142857142,0.0,0.0
