method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
Ridge(compact),20,8,0.23333333333333334,0.29166666666666674,0.14999999999999997,0.625,0.4000000000000001,0.5999999999999999
MutCount (0 labels),20,9,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,9,0.10000000000000002,0.125,0.08000000000000002,0.33333333333333326,0.0,0.20000000000000004
Ridge(compact),20,9,0.23333333333333334,0.29166666666666674,0.14000000000000004,0.5833333333333335,0.20000000000000004,0.5999999999999999
MutCount (0 labels),20,10,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,10,0.10000000000000002,0.125,0.10000000000000002,0.4166666666666667,0.20000000000000004,0.4000000000000001
Ridge(compact),20,10,0.13333333333333333,0.16666666666666663,0.10000000000000002,0.4166666666666667,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,11,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,11,0.10000000000000002,0.125,0.04000000000000001,0.16666666666666663,0.0,0.0
Ridge(compact),20,11,0.03333333333333333,0.04166666666666666,0.05000000000000001,0.20833333333333334,0.0,0.20000000000000004
MutCount (0 labels),20,12,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,12,0.06666666666666667,0.08333333333333331,0.07000000000000002,0.29166666666666674,0.20000000000000004,0.20000000000000004
Ridge(compact),20,12,0.26666666666666666,0.33333333333333326,0.14000000000000004,0.5833333333333335,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,13,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,13,0.10000000000000002,0.125,0.10000000000000002,0.4166666666666667,0.0,0.5999999999999999
Ridge(compact),20,13,0.13333333333333333,0.16666666666666663,0.12999999999999998,0.5416666666666665,0.0,0.5999999999999999
MutCount (0 labels),20,14,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,14,0.03333333333333333,0.04166666666666666,0.04000000000000001,0.16666666666666663,0.0,0.4000000000000001
Ridge(compact),20,14,0.16666666666666663,0.20833333333333334,0.12999999999999998,0.5416666666666665,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,15,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,15,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.0,0.20000000000000004
Ridge(compact),20,15,0.33333333333333326,0.4166666666666667,0.14000000000000004,0.5833333333333335,0.20000000000000004,0.4000000000000001
MutCount (0 labels),20,16,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,16,0.10000000000000002,0.125,0.05000000000000001,0.20833333333333334,0.0,0.0
Ridge(compact),20,16,0.13333333333333333,0.16666666666666663,0.12999999999999998,0.5416666666666665,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,17,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,17,0.03333333333333333,0.04166666666666666,0.030000000000000006,0.125,0.0,0.20000000000000004
Ridge(compact),20,17,0.23333333333333334,0.29166666666666674,0.14999999999999997,0.625,0.20000000000000004,0.5999999999999999
MutCount (0 labels),20,18,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,18,0.06666666666666667,0.08333333333333331,0.05000000000000001,0.20833333333333334,0.20000000000000004,0.20000000000000004
Ridge(compact),20,18,0.13333333333333333,0.16666666666666663,0.07000000000000002,0.29166666666666674,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,19,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,20,19,0.0,0.0,0.04000000000000001,0.16666666666666663,0.0,0.20000000000000004
Ridge(compact),20,19,0.20000000000000004,0.25,0.16000000000000003,0.6666666666666665,0.4000000000000001,0.5999999999999999
MutCount (0 labels),50,0,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,0,0.0,0.0,0.04000000000000001,0.16666666666666663,0.0,0.0
Ridge(compact),50,0,0.23333333333333334,0.29166666666666674,0.19,0.7916666666666665,0.4000000000000001,0.8000000000000002
MutCount (0 labels),50,1,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,1,0.10000000000000002,0.125,0.04000000000000001,0.16666666666666663,0.4000000000000001,0.4000000000000001
